project_short_name,case_barcode,sample_barcode,aliquot_barcode,HGNC_gene_symbol,gene_id,normalized_count,original_gene_symbol,platform
TCGA-KIRP,TCGA-B9-4617,TCGA-B9-4617-01A,TCGA-B9-4617-01A-01R-1193-07,WNK2,65268,58.6146,WNK2,IlluminaHiSeq
TCGA-KIRP,TCGA-SX-A7SR,TCGA-SX-A7SR-01A,TCGA-SX-A7SR-01A-12R-A36F-07,VWC2,375567,0.9917,VWC2,IlluminaHiSeq
TCGA-KIRP,TCGA-G7-7502,TCGA-G7-7502-01A,TCGA-G7-7502-01A-11R-2204-07,SCIMP,388325,32.3499,C17orf87,IlluminaHiSeq
TCGA-KIRP,TCGA-HE-A5NH,TCGA-HE-A5NH-01A,TCGA-HE-A5NH-01A-11R-A26U-07,DOCK7,85440,557.1771,DOCK7,IlluminaHiSeq
TCGA-KIRP,TCGA-Y8-A895,TCGA-Y8-A895-01A,TCGA-Y8-A895-01A-11R-A36F-07,POU4F3,5459,1.7528,POU4F3,IlluminaHiSeq
TCGA-KIRP,TCGA-HE-A5NJ,TCGA-HE-A5NJ-01A,TCGA-HE-A5NJ-01A-11R-A26U-07,PCDHA12,56137,4.1194,PCDHA12,IlluminaHiSeq
TCGA-KIRP,TCGA-4A-A93W,TCGA-4A-A93W-01A,TCGA-4A-A93W-01A-11R-A37K-07,CHMP3,51652,1724.6489,VPS24,IlluminaHiSeq
TCGA-KIRP,TCGA-A4-7997,TCGA-A4-7997-01A,TCGA-A4-7997-01A-11R-2204-07,HSF2BP,11077,9.5743,HSF2BP,IlluminaHiSeq
TCGA-KIRP,TCGA-AL-3467,TCGA-AL-3467-01A,TCGA-AL-3467-01A-02R-1351-07,MTRF1L,54516,408.2333,MTRF1L,IlluminaHiSeq
TCGA-KIRP,TCGA-5P-A9JV,TCGA-5P-A9JV-01A,TCGA-5P-A9JV-01A-12R-A42S-07,ZNF585A,199704,123.9894,ZNF585A,IlluminaHiSeq
TCGA-KIRP,TCGA-A4-7286,TCGA-A4-7286-01A,TCGA-A4-7286-01A-11R-A32Z-07,RASGRF2,5924,9.2308,RASGRF2,IlluminaHiSeq
TCGA-KIRP,TCGA-A4-A6HP,TCGA-A4-A6HP-01A,TCGA-A4-A6HP-01A-11R-A31O-07,NR4A3,8013,11.2414,NR4A3,IlluminaHiSeq
TCGA-KIRP,TCGA-EV-5902,TCGA-EV-5902-01A,TCGA-EV-5902-01A-11R-1592-07,UBE3B,89910,1709.2376,UBE3B,IlluminaHiSeq
TCGA-KIRP,TCGA-2Z-A9JD,TCGA-2Z-A9JD-01A,TCGA-2Z-A9JD-01A-11R-A42S-07,NCAPD2,9918,714.7303,NCAPD2,IlluminaHiSeq
TCGA-KIRP,TCGA-2Z-A9JK,TCGA-2Z-A9JK-01A,TCGA-2Z-A9JK-01A-11R-A42S-07,PACRG,135138,3.2695,PACRG,IlluminaHiSeq
TCGA-KIRP,TCGA-2Z-A9J9,TCGA-2Z-A9J9-01A,TCGA-2Z-A9J9-01A-11R-A42S-07,C7orf61,402573,5.6096,C7orf61,IlluminaHiSeq
TCGA-KIRP,TCGA-A4-7915,TCGA-A4-7915-01A,TCGA-A4-7915-01A-11R-2204-07,EIF2AK4,440275,2243.5238,EIF2AK4,IlluminaHiSeq
TCGA-KIRP,TCGA-UZ-A9PX,TCGA-UZ-A9PX-01A,TCGA-UZ-A9PX-01A-11R-A42S-07,GALNT15,117248,36.9373,GALNTL2,IlluminaHiSeq
TCGA-KIRP,TCGA-B9-4116,TCGA-B9-4116-01A,TCGA-B9-4116-01A-02R-1351-07,METTL7A,25840,722.682,METTL7A,IlluminaHiSeq
TCGA-KIRP,TCGA-SX-A7SP,TCGA-SX-A7SP-01A,TCGA-SX-A7SP-01A-11R-A355-07,CDC14C,168448,6.6578,CDC14C,IlluminaHiSeq
TCGA-KIRP,TCGA-2Z-A9J1,TCGA-2Z-A9J1-01A,TCGA-2Z-A9J1-01A-11R-A38C-07,RNF17,56163,0.4956,RNF17,IlluminaHiSeq
TCGA-KIRP,TCGA-AL-3468,TCGA-AL-3468-01A,TCGA-AL-3468-01A-02R-1351-07,PLAGL2,5326,513.8803,PLAGL2,IlluminaHiSeq
TCGA-KIRP,TCGA-B3-4103,TCGA-B3-4103-01A,TCGA-B3-4103-01A-02R-1351-07,UBB,7314,14645.1902,UBB,IlluminaHiSeq
TCGA-KIRP,TCGA-B1-7332,TCGA-B1-7332-01A,TCGA-B1-7332-01A-11R-A32Z-07,HIST1H3E,8353,16.1309,HIST1H3E,IlluminaHiSeq
TCGA-KIRP,TCGA-B9-A5W9,TCGA-B9-A5W9-01A,TCGA-B9-A5W9-01A-11R-A28H-07,SLC30A6,55676,176.3888,SLC30A6,IlluminaHiSeq
TCGA-KIRP,TCGA-B1-A656,TCGA-B1-A656-01A,TCGA-B1-A656-01A-11R-A31O-07,ZBTB48,3104,648.1665,ZBTB48,IlluminaHiSeq
TCGA-KIRP,TCGA-SX-A7SL,TCGA-SX-A7SL-01A,TCGA-SX-A7SL-01A-11R-A355-07,PSMD5,5711,527.7601,PSMD5,IlluminaHiSeq
TCGA-KIRP,TCGA-DZ-6135,TCGA-DZ-6135-01A,TCGA-DZ-6135-01A-11R-1965-07,MEPCE,56257,1299.8648,MEPCE,IlluminaHiSeq
TCGA-KIRP,TCGA-2Z-A9JS,TCGA-2Z-A9JS-01A,TCGA-2Z-A9JS-01A-21R-A42S-07,MOB2,81532,480.2736,MOB2,IlluminaHiSeq
TCGA-KIRP,TCGA-2Z-A9J3,TCGA-2Z-A9J3-01A,TCGA-2Z-A9J3-01A-12R-A38C-07,TWISTNB,221830,899.3847,TWISTNB,IlluminaHiSeq
TCGA-KIRP,TCGA-A4-A48D,TCGA-A4-A48D-01A,TCGA-A4-A48D-01A-11R-A24Z-07,CXCL13,10563,3.9474,CXCL13,IlluminaHiSeq
